0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr9_81539287,0.83,0.8,0.73,0.84,0.81,0.86,0.85,0.74,0.56,0.8,0.77,0.78,0.88,0.78,0.82,0.8,0.83,0.86,0.8,0.91,0.82,0.52,0.7,0.57,0.6,0.6,0.62,0.66,0.56,0.65,0.56
chr10_67839149,0.78,0.79,0.88,0.67,0.9,0.85,0.86,0.88,0.82,0.93,0.85,0.87,0.95,0.9,0.77,0.88,1.0,0.7906666666666667,0.83,0.92,0.8,0.62,0.67,0.61,0.71,0.7,0.68,0.69,0.68,0.65,0.58
chr22_30349232,0.76,0.84,0.78,0.8,0.9,0.89,0.93,0.91,0.75,0.61,0.37,0.44,1.0,0.83,0.78,0.94,0.0,0.72,0.76,0.5,0.75,0.46,0.0,0.4,0.34,0.44,0.36,0.0,0.81,0.46,0.47
chr3_184686041,0.68,0.53,0.52,0.85,0.81,0.76,0.87,0.53,0.0,0.56,0.88,0.85,0.9,1.0,0.0,0.0,0.92,0.64,0.86,0.88,0.535,0.47,0.25,0.3,0.36,0.42,0.0,0.87,0.02,0.32,0.0
chr14_69916300,0.76,0.2,0.84,0.83,0.75,0.72,0.71,0.72,0.66,0.68,0.75,0.84,0.82,0.76,0.87,0.83,0.41,0.4,0.83,0.46,0.62,0.23,0.22,0.5,0.45,0.0,0.62,0.27,0.26,0.55,0.48
chr6_88276542,0.8,0.63,0.6,0.7,0.61,0.6,0.52,0.62,0.5,0.62,0.67,0.82,0.7,0.63,0.63,0.81,0.69,0.7,0.66,0.8,0.77,0.4,0.42,0.45,0.59,0.52,0.42,0.41,0.56,0.37,0.33
chr14_68937909,0.63,0.47,0.77,0.54,0.6,0.66,0.8,0.61,0.44,0.52,0.6,0.8,0.4806896551724138,0.4806896551724138,0.82,0.68,0.54,0.43,0.68,0.55,0.63,0.0,0.53,0.0,0.0,0.0,0.74,0.0,0.04,0.53,0.33
chr1_202728401,0.85,0.9,1.0,0.85,0.66,0.83,0.92,0.96,0.91,0.9,0.82,0.95,0.96,1.0,0.88,0.95,0.84,0.85,0.89,0.96,0.88,0.65,0.75,0.71,0.8,0.72,0.72,0.8,0.59,0.67,0.59
chr13_51979221,0.69,1.0,0.6055555555555556,0.8,0.71,0.93,0.6055555555555556,0.91,0.87,0.6055555555555556,0.75,0.75,0.92,0.63,0.73,0.6055555555555556,0.42,0.85,0.85,0.9,0.64,0.57,0.88,0.0,0.0,0.0,0.67,0.0,0.0,0.88,0.0
chr18_46069220,0.68,0.65,0.76,0.86,0.96,0.64,0.9,0.0,0.5889655172413791,0.94,1.0,0.0,0.93,0.78,0.73,0.96,0.78,0.7,0.5889655172413791,0.76,0.86,0.62,0.69,0.0,0.0,0.63,0.0,0.0,0.73,0.52,0.0
chr12_1871634,0.69,0.77,0.78,0.78,0.93,0.89,0.82,0.84,0.92,0.86,0.86,0.81,1.0,0.8,0.84,0.9,0.92,0.68,0.9,0.84,0.83,0.68,0.65,0.76,0.5,0.46,0.62,0.64,0.69,0.7,0.52
chr3_126961475,0.93,0.88,0.84,0.68,0.92,0.58,0.87,0.75,0.83,0.717037037037037,0.717037037037037,0.9,0.84,0.81,0.81,0.91,0.717037037037037,0.717037037037037,0.92,0.94,0.56,0.51,0.35,0.44,0.46,0.5,0.52,0.68,0.72,0.79,0.42
chr12_26964849,0.94,0.86,0.95,0.86,1.0,0.89,0.81,1.0,0.92,1.0,0.92,0.91,1.0,0.94,0.84,0.94,0.81,0.6,0.86,1.0,0.83,0.68,0.72,0.68,0.68,0.76,0.77,0.67,0.73,0.72,0.68
chr6_166455550,0.8,0.87,0.77,0.84,0.76,0.95,0.93,0.91,0.88,0.88,0.77,0.9,0.87,0.8,0.89,0.77,0.7,0.92,0.89,0.87,0.94,0.65,0.74,0.73,0.65,0.66,0.67,0.69,0.6,0.64,0.61
chr11_12673522,0.61,0.43275862068965526,0.46,0.47,0.43,0.54,0.83,0.52,0.43275862068965526,0.45,0.37,0.57,0.7,0.61,0.7,0.63,0.38,0.46,0.36,0.64,0.16,0.25,0.27,0.27,0.29,0.41,0.29,0.21,0.33,0.21,0.13
chr16_2361050,0.76,0.5,0.5,0.66,0.71,0.76,0.6,0.71,0.69,0.66,0.68,0.84,0.57,0.84,0.59,0.59,0.58,0.7,0.6,0.81,0.54,0.48,0.45,0.48,0.5,0.49,0.38,0.36,0.48,0.45,0.39
chr20_58710602,0.93,0.88,0.81,0.88,0.91,0.82,0.89,0.89,0.87,1.0,0.84,0.81,0.88,0.9,0.88,0.83,0.94,0.86,0.87,0.9,0.88,0.66,0.7,0.76,0.73,0.68,0.67,0.76,0.74,0.73,0.75
chr1_244617375,0.66,0.85,0.88,0.84,0.85,0.89,0.78,0.92,0.7,0.73,0.73,0.9,0.9,0.77,1.0,0.85,0.75,0.87,0.85,0.94,0.76,0.71,0.53,0.59,0.56,0.61,0.65,0.6,0.64,0.63,0.63
chr6_116110248,0.95,0.81,0.79,0.93,0.9,0.8,0.97,0.84,0.96,0.9,0.88,0.93,0.94,0.87,0.82,0.9,0.92,0.92,0.79,0.89,0.85,0.72,0.7,0.66,0.71,0.73,0.75,0.75,0.74,0.73,0.74
chr11_5470337,0.0,0.0,0.38,0.0,0.0,0.03,0.57,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.51,0.0,0.68,0.52,0.36,0.0,0.46,0.45,0.54,0.45,0.41,0.84,0.88,0.48,0.43,0.38
chr16_47584641,0.7758620689655171,0.84,0.9,0.86,0.85,0.92,0.85,0.8,0.85,1.0,0.76,0.9,0.87,0.88,0.87,0.66,0.7758620689655171,0.8,0.9,1.0,0.63,0.56,0.61,0.73,0.58,0.68,0.68,0.69,0.59,0.63,0.61
chr6_73525816,1.0,0.87,0.8703703703703702,0.92,0.8703703703703702,0.92,0.8703703703703702,0.87,0.8703703703703702,0.91,0.91,0.93,0.95,1.0,1.0,0.92,0.9,0.86,1.0,0.94,0.9,0.81,0.78,0.73,0.7,0.83,0.73,0.84,0.7,0.79,0.79
chr10_99791886,0.57,0.55,0.46,0.6,0.57,0.5,0.57,0.48,0.6,0.73,0.59,0.83,0.79,0.31,0.81,0.68,0.69,0.47,0.72,0.4,0.5,0.37,0.26,0.44,0.36,0.45,0.43,0.42,0.31,0.33,0.43
chr12_103273928,0.74,0.79,0.75,0.8,0.85,0.71,0.77,0.77,0.81,0.88,0.92,0.82,0.81,0.82,0.85,0.84,0.72,0.75,0.76,0.89,0.78,0.66,0.68,0.58,0.61,0.68,0.65,0.66,0.69,0.66,0.56
chr15_69072880,0.73,0.61,0.61,0.9,0.45,0.7,0.72,0.6,0.47,0.64,0.54,0.85,0.75,0.67,0.76,0.85,0.86,0.6083333333333331,0.63,0.82,0.6,0.55,0.43,0.44,0.44,0.5,0.45,0.58,0.4,0.32,0.38
chr12_49133114,0.9,0.88,0.78,0.82,0.94,0.94,0.9,0.81,1.0,0.82,0.71,0.79,0.81,0.9,0.85,0.84,0.92,0.84,0.73,0.95,0.71,0.51,0.66,0.76,0.7,0.61,0.7,0.62,0.65,0.53,0.61
chr13_111683902,0.78,0.89,0.53,0.92,0.96,0.88,0.91,0.88,0.95,0.87,0.78,0.92,0.9,0.83,0.76,0.95,0.87,0.85,0.79,0.96,0.86,0.7,0.71,0.72,0.67,0.65,0.74,0.65,0.71,0.64,0.56
chr7_2715176,0.75,0.36,0.52,0.53,0.34,0.56,0.6,0.48,0.48,0.58,0.55,0.73,0.65,0.44,0.52,0.51,0.66,0.54,0.59,0.69,0.37,0.36,0.3,0.26,0.34,0.42,0.25,0.28,0.34,0.29,0.25
chr8_22439837,0.6,0.83,0.8,0.66,0.7,0.84,0.92,0.84,0.84,0.5,0.58,0.81,0.93,0.6,0.84,0.71,0.63,1.0,0.71,0.71,1.0,0.6,0.49,0.5,0.53,0.47,0.58,0.47,0.35,0.52,0.45
chr3_37620210,0.71,0.38,0.52,0.54,0.28,0.53,0.62,0.6,0.44,0.43,0.45,0.73,0.69,0.43,0.62,0.43,0.46,0.48,0.58,0.74,0.4,0.28,0.28,0.35,0.33,0.37,0.41,0.25,0.25,0.18,0.21
chr7_136116466,0.0,0.85,0.86,0.62,0.83,0.83,0.9,0.9,0.93,0.7,0.8,0.0,0.45,0.93,0.5803333333333333,0.84,0.0,0.66,0.83,0.78,0.94,0.51,0.02,0.49,0.46,0.0,0.51,0.58,0.0,0.54,0.65
chr11_134639827,0.75,0.75,0.58,0.58,0.57,0.51,0.71,0.4,0.68,0.72,0.52,0.76,0.75,0.71,0.66,0.52,0.73,0.61,0.72,0.69,0.64,0.29,0.31,0.39,0.36,0.5,0.35,0.66,0.47,0.29,0.41
chr6_167159382,0.9,0.82,0.86,0.86,0.82,0.87,1.0,0.88,0.86,0.84,0.77,1.0,0.87,0.88,0.86,0.92,0.61,0.84,0.92,1.0,0.7,0.62,0.69,0.71,0.66,0.68,0.69,0.64,0.61,0.62,0.64
chr4_25748064,0.87,0.74,0.79,0.88,0.84,0.89,0.84,0.81,0.84,0.86,0.89,0.88,0.87,0.79,0.83,0.78,0.8,0.62,0.87,0.73,0.67,0.63,0.65,0.62,0.64,0.57,0.59,0.68,0.61,0.55,0.55
chr1_56536070,0.76,0.66,0.68,0.68,0.45,0.5,0.76,0.59,0.69,0.62,0.59,0.72,0.77,0.58,0.68,0.75,0.58,0.62,0.6,0.7,0.57,0.41,0.42,0.4,0.45,0.54,0.53,0.53,0.43,0.41,0.29
chr11_71207802,0.72,0.58,0.64,0.8,0.64,0.74,0.68,0.7,0.63,0.75,0.58,0.72,0.75,0.71,0.72,0.75,0.72,0.65,0.65,0.85,0.78,0.37,0.59,0.59,0.47,0.52,0.55,0.48,0.53,0.45,0.44
chr19_1168467,0.7,0.0,0.42,0.02,0.81,0.0,0.42,0.74,0.66,0.68,0.43,0.82,0.0,0.15,0.65,0.88,0.0,0.36,0.33,0.15,0.72,0.85,0.8,0.53,0.73,0.88,0.83,0.85,0.82,0.85,0.81
chr8_27480264,0.89,0.84,0.65,0.82,0.91,0.94,0.85,0.82,0.8,0.9,0.96,0.96,0.95,0.96,0.96,0.85,0.73,0.92,0.85,1.0,0.8,0.57,0.73,0.69,0.72,0.63,0.71,0.75,0.58,0.69,0.64
chr19_5061041,0.8,0.47,0.46,0.49,0.9,0.98,0.92,0.86,0.92,0.33,0.89,0.58,0.9,0.9,0.9,0.96,0.88,0.72,0.42,0.94,0.44,0.36,0.0,0.4,0.46,0.42,0.87,0.38,0.44,0.45,0.0
chr13_31202107,0.66,0.5,0.24,0.64,0.31,0.33,0.48,0.29,0.36,0.41,0.26,0.52,0.6,0.42,0.47,0.56,0.37,0.31,0.39,0.79,0.41,0.22,0.2,0.15,0.17,0.36,0.17,0.22,0.24,0.16,0.16
chr13_62320949,0.88,0.78,0.8,0.85,0.84,0.82,0.93,0.75,0.78,0.86,0.8,0.88,0.9,0.88,0.8,0.87,0.85,0.89,0.86,0.88,0.8,0.67,0.69,0.72,0.68,0.68,0.7,0.73,0.65,0.7,0.69
chr8_94793859,0.88,0.76,0.77,0.77,0.7559259259259261,0.7559259259259261,0.9,0.71,0.9,0.91,0.92,0.8,0.7559259259259261,0.91,0.84,0.8,0.83,0.7,0.81,0.91,0.7559259259259261,0.67,0.55,0.59,0.63,0.64,0.62,0.54,0.64,0.75,0.66
chr5_52859945,0.82,0.77,0.73,0.84,0.78,0.8,0.76,0.94,0.76,0.92,0.93,0.77,0.91,0.78,0.8,0.96,0.7756666666666667,0.77,0.9,0.94,1.0,0.61,0.7,0.67,0.6,0.78,0.64,0.58,0.6,0.62,0.59
chr20_63282601,0.81,0.77,0.74,0.81,0.75,0.73,0.89,0.87,0.86,0.66,0.79,0.76,0.79,0.87,0.82,0.89,0.82,0.79,0.65,0.87,0.89,0.64,0.65,0.61,0.6,0.56,0.51,0.68,0.64,0.55,0.57
chr4_73868977,0.21,0.25,0.07,0.08,0.19,0.21,0.25,0.19,0.22,0.11,0.4,0.25,0.21,0.23,0.16,0.23,0.16,0.25,0.22,0.27,0.22,0.39,0.33,0.28,0.34,0.49,0.41,0.43,0.39,0.38,0.4
chr1_19816373,0.72,0.84,0.63,0.46,0.85,0.88,0.93,0.9,1.0,0.6718518518518517,0.9,0.93,0.8,0.91,0.6718518518518517,0.93,0.6718518518518517,0.6718518518518517,1.0,0.83,0.28,0.36,0.82,0.0,0.46,0.84,0.55,0.33,0.25,0.36,0.38
chr3_189974909,0.64,0.5,0.76,0.76,0.87,0.92,0.96,0.44,0.91,0.68,0.52,0.52,0.94,0.46,0.56,0.83,1.0,0.9,0.88,0.43,0.84,0.4,0.45,0.0,0.36,0.0,0.86,0.0,0.3,0.41,0.76
chr3_176209066,0.69,0.6,0.54,0.53,0.25,0.54,0.44,0.52,0.42,0.41,0.47,0.63,0.58,0.51,0.53,0.56,0.41,0.54,0.52,0.79,0.56,0.29,0.29,0.22,0.25,0.45,0.29,0.33,0.26,0.29,0.23
chr22_49613076,0.71,0.84,0.88,0.82,0.87,0.79,0.79,0.9,0.82,0.8,0.9,0.84,0.91,0.84,0.83,0.82,0.88,0.8,0.87,0.96,0.72,0.61,0.53,0.63,0.66,0.72,0.58,0.69,0.68,0.71,0.58
chr18_79941857,0.82,0.89,0.88,0.87,0.88,0.89,0.88,0.82,0.85,0.85,0.83,0.87,0.86,0.84,0.87,0.91,0.83,0.87,0.77,0.92,0.82,0.62,0.77,0.7,0.67,0.67,0.71,0.75,0.69,0.63,0.63
chr7_71495966,0.83,0.75,0.7,0.77,0.84,0.8,0.76,0.76,0.75,0.78,0.77,0.82,0.95,0.72,0.87,0.9,0.69,0.75,0.88,0.92,0.57,0.55,0.5,0.49,0.49,0.62,0.5,0.54,0.76,0.58,0.52
chr11_61130060,0.11,0.08,0.06,0.14,0.08,0.21,0.14,0.1,0.1,0.1,0.13,0.13,0.09,0.11,0.14,0.09,0.12,0.07,0.07,0.18,0.06,0.36,0.24,0.27,0.13,0.38,0.34,0.28,0.37,0.39,0.36
chr18_23149949,0.89,0.92,0.88,0.82,0.9,0.86,0.9,0.92,0.81,0.86,1.0,0.96,0.96,0.93,0.9,0.83,0.6,0.83,0.95,0.92,0.77,0.68,0.79,0.58,0.71,0.67,0.65,0.67,0.69,0.66,0.69
chr2_3973349,0.93,0.53,0.83,0.52,0.7,0.72,0.84,0.81,0.86,0.6777777777777778,0.6777777777777778,0.83,0.76,0.78,0.75,0.91,0.6777777777777778,0.92,0.6777777777777778,0.66,0.78,0.69,0.41,0.47,0.28,0.71,0.56,0.52,0.6,0.51,0.42
chr11_46796904,0.84,0.77,0.82,0.85,0.89,0.84,0.82,0.83,0.76,0.85,0.9,0.9,0.96,0.9,0.93,0.91,0.87,0.85,0.74,0.92,0.78,0.6,0.68,0.72,0.61,0.65,0.71,0.74,0.74,0.71,0.65
chr4_1262425,0.89,0.81,0.82,0.85,0.89,0.84,0.82,0.87,0.86,0.93,0.8,0.93,0.81,0.86,0.82,0.88,0.79,0.81,0.86,0.91,0.66,0.73,0.74,0.68,0.62,0.61,0.66,0.71,0.68,0.72,0.56
chr17_69084946,0.81,0.87,0.75,0.76,0.85,0.8,0.93,0.78,0.78,0.76,0.87,0.92,1.0,0.9,0.94,0.76,0.9,0.7753333333333333,0.8,0.9,0.76,0.69,0.63,0.64,0.65,0.66,0.58,0.76,0.63,0.6,0.58
chr10_52950229,0.83,0.76,0.7,0.84,0.76,0.8,0.69,0.82,0.67,0.55,0.77,0.79,0.77,0.68,0.83,0.73,0.7,0.61,0.76,0.78,0.64,0.39,0.58,0.63,0.52,0.49,0.59,0.53,0.55,0.52,0.62
chr1_16042397,0.76,0.56,0.4996296296296294,0.61,0.7,0.62,0.35,0.78,0.66,0.62,0.4996296296296294,0.62,0.55,0.68,0.58,0.61,0.4996296296296294,0.4996296296296294,0.45,0.48,0.79,0.49,0.62,0.52,0.0,0.54,0.0,0.0,0.53,0.37,0.0
chr11_43548292,0.77,0.82,0.8,0.86,0.75,0.78,0.8,0.78,0.85,0.91,0.8,0.86,0.83,0.75,0.8,0.88,0.86,0.77,0.9,0.78,0.6,0.6,0.5,0.5,0.47,0.48,0.57,0.72,0.76,0.75,0.51
chr4_148527052,0.75,0.75,0.655,0.96,0.88,0.82,0.85,0.72,0.61,0.81,0.77,0.84,0.93,0.23,0.69,0.85,0.655,0.655,0.71,0.81,0.77,0.47,0.85,0.4,0.34,0.37,0.69,0.38,0.41,0.37,0.31
chr10_22247802,0.76,0.84,0.82,0.91,0.86,0.93,0.89,0.91,0.85,0.83,1.0,0.93,0.95,0.89,0.87,0.88,0.9,0.84,0.88,0.89,0.83,0.64,0.75,0.68,0.69,0.68,0.78,0.71,0.7,0.77,0.69
chr14_54945231,0.78,0.91,0.84,0.93,0.92,0.93,0.97,0.93,0.9,0.82,0.91,0.9,0.97,0.97,0.87,0.93,0.9,0.78,1.0,0.88,0.81,0.42,0.76,0.69,0.67,0.76,0.76,0.78,0.72,0.72,0.76
chr19_39372241,0.48,0.88,0.78,0.4,0.97,0.47,0.65,0.42,0.44,0.0,0.55,0.91,0.47,0.0,0.76,0.48,0.57,0.47,0.37,0.47,0.45,0.84,0.43,0.9,0.79,0.86,0.93,0.91,0.84,0.89,0.88
chr6_47633586,0.41,0.0,0.27,0.0,0.0,0.0,0.48,0.0,0.0,0.52,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.38,0.25,0.51,0.77,0.39,0.43,0.47,0.43,0.38,0.85,0.5,0.44,0.53,0.76
chr2_74148419,0.13,0.06,0.1,0.2,0.27,0.22,0.23,0.25,0.24,0.17,0.37,0.23,0.13,0.25,0.37,0.23,0.24,0.14,0.4,0.25,0.09,0.58,0.44,0.45,0.25,0.39,0.49,0.4,0.53,0.52,0.41
chr11_73343424,0.78,0.76,0.78,0.87,0.9,0.81,0.84,0.89,0.7,0.76,0.83,0.95,0.7199999999999999,0.95,0.97,0.87,0.7,0.72,0.92,0.96,0.88,0.66,0.56,0.84,0.42,0.9,0.0,0.0,0.64,0.74,0.0
chr7_101498909,0.39,0.69,0.24,0.28,0.72,0.0,0.79,0.48,0.85,0.74,0.33,0.38,0.86,0.85,0.41,0.77,0.4,0.62,0.73,0.36,0.39,0.85,0.83,0.83,0.83,0.87,0.76,0.85,0.82,0.81,0.77
chr15_60917883,0.69,0.56,0.6,0.57,0.42,0.6,0.4,0.63,0.53,0.44,0.54,0.64,0.57,0.55,0.6,0.87,0.5,0.5,0.59,0.8,0.7,0.34,0.46,0.35,0.32,0.42,0.42,0.48,0.4,0.3,0.18
chr22_30340569,0.79,0.77,0.8,0.89,0.9,0.89,0.88,0.91,0.88,0.41,0.5,0.6,0.96,0.9,0.86,0.93,0.0,0.8,0.83,0.41,0.89,0.39,0.0,0.53,0.48,0.47,0.43,0.0,0.94,0.41,0.38
chr13_113799666,0.63,0.78,0.7,0.72,0.83,0.8,0.79,0.73,0.7,0.72,0.81,0.78,0.78,0.73,0.82,0.76,0.77,0.75,0.77,0.84,0.78,0.57,0.44,0.56,0.67,0.46,0.69,0.66,0.64,0.63,0.61
chr7_51045927,0.92,0.9,0.82,0.87,0.94,0.86,0.95,0.84,0.88,0.83,0.97,0.93,0.95,0.9,0.88,0.82,0.9,0.88,0.86,0.88,0.89,0.58,0.71,0.64,0.71,0.68,0.69,0.77,0.82,0.72,0.65
chr16_55731993,0.29,0.38,0.74,0.46,0.48,0.7,0.8,0.83,0.5,0.38,0.85,0.44,0.74,0.3,0.37,0.96,0.81,0.39,0.4,0.36,0.87,0.35,0.3,0.27,0.42,0.0,0.0,0.45,0.34,0.0,0.0
chr10_386030,0.53,0.36,0.64,0.43,0.5,0.8,0.85,0.91,0.39,0.38,0.52,0.88,0.89,0.82,0.87,0.52,0.83,0.32,0.43,0.93,0.45,0.39,0.0,0.39,0.38,0.39,0.88,0.0,0.0,0.4,0.0
chr16_31819909,0.8,0.62,0.48,0.59,0.53,0.44,0.72,0.65,0.37,0.68,0.51,0.58,0.74,0.55,0.76,0.51,0.56,0.54,0.23,0.57,0.48,0.34,0.23,0.3,0.53,0.4,0.3,0.21,0.26,0.28,0.22
chr2_174558415,0.68,0.82,0.74,0.79,0.76,0.76,0.72,0.71,0.74,0.7,0.74,0.88,0.75,0.75,0.75,0.71,0.67,0.76,0.62,0.77,0.57,0.48,0.53,0.5,0.54,0.52,0.54,0.6,0.65,0.51,0.55
chr12_130953544,0.77,0.9,0.8,0.76,1.0,0.79,0.9,0.93,0.89,0.58,0.93,0.73,0.8,0.74,0.83,0.93,0.86,0.9,0.75,0.83,0.75,0.54,0.73,0.6,0.63,0.64,0.6,0.73,0.73,0.66,0.51
chr11_118076913,0.77,0.63,0.65,0.82,0.66,0.75,0.66,0.74,0.62,0.81,0.6,0.71,0.79,0.66,0.69,0.65,0.61,0.65,0.58,0.78,0.63,0.45,0.46,0.49,0.48,0.53,0.53,0.54,0.6,0.54,0.37
chr3_120842323,0.83,0.91,0.8,0.87,0.9,0.79,0.92,1.0,0.81,0.81,0.72,0.94,0.88,0.87,0.94,0.9,0.86,0.8,0.89,0.85,0.82,0.75,0.72,0.64,0.62,0.75,0.71,0.78,0.67,0.68,0.65
chr19_45905360,0.92,0.8,0.81,0.79,0.61,0.88,0.82,0.8,0.79,0.7276666666666666,0.8,0.94,0.71,0.94,0.52,0.72,0.73,0.84,0.76,0.85,0.78,0.68,0.68,0.61,0.6,0.56,0.65,0.61,0.51,0.65,0.47
chr4_141486801,0.8,0.69,0.59,0.81,0.76,0.81,0.64,0.81,0.6682142857142859,1.0,0.66,0.83,0.93,0.8,0.66,0.6682142857142859,0.72,0.42,0.9,0.84,0.6682142857142859,0.43,0.47,0.38,0.56,0.48,0.37,0.62,0.75,0.52,0.46
chr1_1313806,0.0,0.27,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.48,0.87,0.43,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.41,0.46,0.46,0.42,0.45,0.42,0.49,0.44,0.38
chr6_152704964,0.74,0.54,0.56,0.57,0.73,0.58,0.7,0.8,0.05,0.54,0.0,0.76,0.65,0.0,0.55,0.5,0.35,0.76,0.57,0.0,0.25,0.0,0.0,0.0,0.0,0.27,0.34,0.31,0.4,0.0,0.37
chr5_150541688,0.7,0.86,0.6926666666666667,0.86,0.63,1.0,0.73,0.86,0.68,0.8,0.9,0.92,0.91,0.69,0.75,0.96,0.88,0.8,0.94,0.85,0.92,0.0,0.74,0.0,0.87,0.75,0.0,0.53,0.58,0.67,0.0
chr3_101673371,0.81,0.93,0.87,0.86,0.95,0.89,0.96,0.92,0.87,0.9,0.9,0.9,0.9,0.9,0.92,0.95,0.92,0.88,0.93,0.94,0.94,0.73,0.83,0.8,0.65,0.73,0.68,0.8,0.81,0.71,0.7
chr1_231986176,0.0,0.0,0.8,0.84,0.97,0.9,0.93,0.97,0.5,0.4,0.0,0.97,0.64,0.86,0.0,0.9,0.26,0.87,0.96,1.0,1.0,0.57,0.0,0.0,0.0,0.5,0.37,0.0,0.48,0.43,0.52
chr6_10555819,0.56,0.56,0.46,0.51,0.4,0.56,0.56,0.39,0.41,0.6,0.5,0.71,0.59,0.45,0.52,0.34,0.53,0.57,0.51,0.67,0.72,0.24,0.36,0.38,0.41,0.29,0.26,0.32,0.29,0.25,0.31
chr7_2715166,0.77,0.62,0.58,0.61,0.48,0.77,0.62,0.66,0.62,0.8,0.64,0.71,0.71,0.58,0.53,0.76,0.79,0.58,0.6,0.71,0.55,0.53,0.47,0.52,0.48,0.5,0.4,0.44,0.49,0.44,0.4
chr11_9813179,0.24,1.0,0.86,0.61,0.91,0.85,0.84,0.55,0.36,0.95,0.91,1.0,0.82,0.75,0.63,0.76,0.86,0.29,0.58,0.95,0.31,0.48,0.0,0.43,0.85,0.42,0.35,0.0,0.5,0.46,0.32
chr1_158184019,0.88,0.77,0.92,0.92,0.83,0.78,0.76,0.87,0.8,0.95,0.8,0.84,0.79,0.84,0.84,0.88,0.78,0.68,0.87,0.78,0.83,0.48,0.66,0.63,0.5,0.44,0.6,0.65,0.85,0.7,0.61
chr10_30693291,0.0,0.26,0.53,0.0,0.43,0.0,0.87,0.0,0.75,0.86,0.44,0.0,0.9,0.29,0.87,0.0,0.54,0.92,0.54,0.66,0.23,0.85,0.89,0.92,0.81,0.81,0.85,0.89,0.53,0.86,0.81
chr1_24831142,1.0,0.76,0.73,0.86,0.7933333333333334,0.7933333333333334,0.92,0.7933333333333334,0.81,0.85,0.7933333333333334,1.0,0.78,0.91,0.94,1.0,1.0,0.9,0.71,0.88,0.75,0.64,0.74,0.64,0.69,0.71,0.52,0.74,0.6,0.59,0.75
chr14_77297026,0.77,0.61,0.42,0.48,0.35,0.5,0.53,0.69,0.55,0.6,0.5,0.6,0.82,0.61,0.57,0.66,0.52,0.52,0.44,0.59,0.37,0.33,0.31,0.25,0.27,0.4,0.45,0.31,0.29,0.29,0.3
chr1_208941978,0.85,0.85,0.82,0.67,0.8,0.69,0.83,0.77,0.62,0.8,0.78,0.82,0.8,0.83,0.7,0.83,0.84,0.75,0.96,0.82,0.81,0.54,0.58,0.58,0.52,0.71,0.49,0.65,0.53,0.6,0.56
chr2_5886740,0.78,0.74,0.67,0.63,0.76,0.7,0.78,0.7,0.81,0.77,0.75,0.76,0.86,0.71,0.77,0.78,0.61,0.7,0.7,0.67,0.8,0.42,0.56,0.51,0.56,0.59,0.56,0.68,0.54,0.52,0.55
chr16_911950,0.76,0.71,0.86,0.64,0.76,0.85,0.83,0.91,0.88,0.81,0.84,0.91,0.84,0.85,0.92,0.92,1.0,0.72,0.7,0.84,0.6,0.53,0.62,0.62,0.45,0.63,0.64,0.71,0.54,0.59,0.48
chr5_66511677,0.8,0.63,0.59,0.65,0.64,0.63,0.82,0.81,0.64,0.87,0.61,0.9,0.87,0.73,0.52,0.78,0.75,0.57,0.68,0.75,0.8,0.48,0.51,0.5,0.54,0.66,0.51,0.56,0.4,0.53,0.32
chr12_132803709,0.81,0.57,0.46,0.7,0.4,0.56,0.6,0.86,0.63,0.56,0.5,0.85,0.75,0.52,0.73,0.55,0.59,0.76,0.58,0.77,0.5,0.33,0.45,0.4,0.4,0.51,0.39,0.47,0.44,0.36,0.21
chr18_10900615,0.8,0.46,0.75,0.8,1.0,0.9,0.88,0.86,0.71,0.74,0.88,0.96,0.87,0.87,0.57,0.93,0.81,0.0,0.55,0.87,0.76,0.0,0.0,0.8,0.5,0.47,0.4,0.38,0.47,0.78,0.4
chr3_32856712,0.43592592592592605,0.55,0.7,0.53,0.46,0.73,0.85,0.4,0.43592592592592605,0.25,0.43592592592592605,0.0,0.93,0.9,0.29,0.63,0.66,0.8,1.0,0.43592592592592605,0.0,0.34,0.0,0.0,0.48,0.54,0.0,0.0,0.4,0.0,0.33
chr4_77019755,0.85,0.55,0.68,0.64,0.51,0.65,0.7,0.58,0.7,0.75,0.5,0.78,0.68,0.68,0.75,0.69,0.78,0.72,0.66,0.69,0.53,0.36,0.45,0.43,0.53,0.57,0.44,0.47,0.42,0.39,0.31
chr13_32416373,0.89,0.89,0.83,0.93,0.88,0.84,0.95,0.89,0.87,0.87,0.93,0.9,0.84,0.9,0.8,0.92,0.89,0.75,0.88,0.95,0.88,0.76,0.73,0.78,0.71,0.69,0.63,0.72,0.78,0.69,0.73
