0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,sALS_21,sALS_22,sALS_23,sALS_24,sALS_25,sALS_26,sALS_27,sALS_28,sALS_29,sALS_30,sALS_31,sALS_33,sALS_34,sALS_35,sALS_36,sALS_37,sALS_38,sALS_39,sALS_40,Control_51
chr5_151214686,0.0,0.06,0.0,0.04,0.04,0.04,0.0,0.09,0.2,0.0,0.06,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.23,0.0,0.11,0.56,0.03,0.0,0.0,0.04,0.0,0.39,0.0,0.1,0.0,0.06,0.24,0.11,0.0
chr14_65354664,0.84,0.84,0.82,0.91,0.93,0.79,0.92,0.89,0.83,0.84,0.9,0.96,0.79,0.78,0.75,0.96,0.84,0.72,0.91,0.9,0.78,0.76,0.85,0.83,0.86,0.74,0.78,0.78,0.77,0.5,0.8,0.8,0.84,0.86,0.69,0.88,0.77,0.78,0.92,0.9
chr8_124689998,0.6,0.28,0.56,0.28,0.33,0.53,0.35,0.44,0.63,0.65,0.25,0.5,0.45,0.62,0.71,0.1,0.48,0.56,0.6,0.61,0.07,0.4189473684210526,0.13,0.28,0.48,0.4189473684210526,0.8,0.37,0.64,0.2,0.3,0.37,0.1,0.32,0.33,0.67,0.15,0.28,0.23,0.67
chr14_64541286,0.32,0.26,0.51,0.73,0.41,0.46,0.35,0.37,0.42,0.85,0.51,0.35,0.44,0.3,0.21,0.52,0.27,0.36,0.19,0.52,0.18,0.34,0.34,0.22,0.27,0.51,0.29,0.32,0.33,0.2,0.27,0.24,0.32,0.5,0.29,0.25,0.31,0.28,0.43,0.6
chr1_76073957,0.9,0.72,0.81,0.88,0.76,0.73,0.83,0.89,0.68,0.85,0.9,0.84,0.83,0.8,0.85,0.92,0.81,0.64,0.87,0.94,0.64,0.58,0.91,0.79,0.88,0.7952631578947368,0.61,0.31,0.77,0.66,1.0,0.9,0.7952631578947368,0.82,0.73,0.95,0.84,0.76,0.68,0.94
chr2_173271628,0.52,0.0,0.12,0.91,0.0,0.4,0.52,0.88,0.92,0.55,0.85,0.88,0.94,0.86,0.42,0.91,0.05,0.89,0.33,0.55,0.0,0.51,0.58,0.5,0.0,0.56,0.51,0.0,0.0,0.93,0.5,0.57,0.0,0.45,0.55,0.88,0.54,0.0,0.51,0.38
chr20_50274825,0.2,0.16,0.41,0.0,0.21,0.38,0.3,0.43,0.2,0.26,0.28,0.13,0.293157894736842,0.15,0.25,0.41,0.16,0.293157894736842,0.21,0.1,0.27,0.3,0.5,0.47,0.18,0.13,0.51,0.3,0.2,0.1,0.45,0.25,0.69,0.5,0.1,0.35,0.45,0.34,0.55,0.26
chr11_3418451,0.78,0.86,0.81,0.81,0.78,0.88,0.84,0.83,0.7,0.88,0.88,0.85,0.68,0.73,0.8,0.78,1.0,0.7732432432432432,0.9,0.83,0.76,0.63,0.57,0.68,0.6,0.87,0.7,0.86,0.76,0.7732432432432432,0.66,0.7,0.8,0.9,0.7732432432432432,0.25,0.81,0.81,0.8,0.83
chr22_25175962,0.27,0.63,0.35,0.64,0.25,0.73,0.37,0.0,0.0,0.39,0.29,0.5,0.46,0.0,0.4,0.72,0.75,0.37,0.0,0.66,0.34,0.71,0.75,0.69,0.45,0.75,0.01,0.61,0.34,0.21,0.77,0.73,0.77,0.4,0.43,0.75,0.27,0.3,0.29,0.25
chr7_117146231,0.09,0.06,0.08,0.08,0.05,0.29,0.2,0.18,0.29,0.06,0.25,0.02,0.07,0.07,0.0,0.21,0.13,0.11,0.25,0.08,0.15,0.2,0.17,0.21,0.06,0.1,0.38,0.04,0.12,0.21,0.28,0.14,0.34,0.08,0.12,0.0,0.22,0.26,0.36,0.0
chr19_1840045,0.7,0.86,0.88,0.86,0.78,0.82,0.78,0.66,0.89,0.86,0.6,0.76,0.84,0.73,0.85,0.85,0.93,0.8,0.76,0.9,0.77,0.62,0.57,0.66,0.81,0.88,0.5,0.71,0.69,0.7,0.73,0.75,0.69,0.66,0.77,0.52,0.67,0.54,0.84,0.88
chr21_44844656,0.83,0.9,0.82,0.86,0.84,0.73,0.92,0.96,0.9,0.82,0.81,0.84,0.9,0.88,0.91,1.0,0.76,0.77,0.83,1.0,0.8,0.87,0.78,0.65,0.75,0.83,0.67,0.9,0.82,0.73,0.92,0.82,0.73,0.83,0.83,0.87,0.66,0.78,0.71,0.77
chr19_39199269,0.57,0.54,0.59,0.54,0.42,0.61,0.34,0.51,0.6,0.95,0.78,0.62,0.59,0.45,0.53,0.71,0.69,0.5,0.9,0.51,0.38,0.25,0.64,0.48,0.62,0.45,0.44,0.66,0.56,0.57,0.5,0.51,0.62,0.47,0.7,0.5,0.57,0.48,0.29,0.54
chr1_224387375,0.5,0.42,0.4,0.51,0.46,0.56,0.35,0.58,0.41,0.64,0.39,0.18,0.44,0.33,0.47,0.52,0.34,0.44,0.48,0.45,0.47,0.4851351351351351,0.37,0.56,0.48,0.4851351351351351,0.4851351351351351,0.71,0.4,0.41,0.5,0.64,0.61,0.45,0.47,0.62,0.85,0.45,0.59,0.5
chr9_93004363,0.75,0.75,0.78,0.76,0.81,0.89,0.82,0.75,0.86,0.8,0.77,0.86,0.87,0.78,0.72,0.84,0.7,0.73,0.85,0.66,0.71,0.6,0.77,0.6,0.68,0.75,0.51,0.89,0.69,0.84,0.81,0.71,0.65,0.9,0.85,0.88,0.72,0.62,0.5,0.69
chr13_113472826,0.0,0.86,0.82,0.0,0.96,0.87,0.49,0.36,0.51,0.93,0.88,0.38,0.98,0.41,0.91,0.6,0.52,0.88,0.4,0.5,0.42,0.8,0.43,0.82,0.82,0.94,0.44,0.88,0.85,0.47,0.87,0.9,0.92,0.94,0.95,0.88,0.76,0.88,0.45,0.41
chr16_29228568,0.76,0.65,0.05,0.0,0.42736842105263156,0.63,0.41,0.0,0.47,0.0,0.51,0.62,0.65,0.0,0.75,0.89,0.0,0.42736842105263156,0.0,0.64,0.59,0.47,0.68,0.0,0.83,0.0,0.59,0.9,0.54,0.52,0.0,0.58,0.77,0.0,0.5,0.67,0.62,0.49,0.46,0.0
chr6_18126253,0.0,0.4,0.0,0.0,0.0,0.33,0.5,0.54,0.0,0.3,0.0,0.9,0.44,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.65,0.23,0.53,0.0,0.0,0.36,0.0,0.48,0.4,0.0,0.2439473684210526,0.52,0.55,0.2439473684210526,0.9,0.0,0.0,0.0,0.91,0.0
chr17_82713383,0.81,0.91,0.71,0.04,0.01,0.41,0.02,0.4,0.85,0.52,0.43,0.84,0.5,0.38,0.81,0.47,0.9,0.3,0.27,0.42,0.8,0.78,0.8,0.77,0.36,0.73,0.47,0.82,0.73,0.5,0.39,0.81,0.82,0.43,0.81,0.85,0.82,0.37,0.84,0.81
chr22_37244899,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.11,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.13,0.0,0.04,0.0,0.09,0.03,0.09,0.04,0.37,0.04,0.060000000000000005,0.0,0.09,0.06,0.34,0.060000000000000005,0.0,0.1,0.11,0.19,0.11,0.0
chr12_52552759,0.72,0.89,0.51,0.8,0.81,0.83,0.71,0.46,0.85,0.8,0.3,0.75,0.51,0.9,0.48,0.87,0.81,0.42,0.78,0.88,0.0,0.67,0.31,0.46,0.75,0.5,0.92,0.0,0.59,0.0,0.84,0.43,0.74,0.43,0.83,0.77,0.79,0.41,0.85,0.89
chr19_17846308,0.0,0.08,0.04,0.0,0.03,0.02,0.05,0.07,0.0,0.0,0.08,0.04,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.14,0.06,0.05,0.28,0.0,0.0,0.0,0.06,0.02,0.18,0.05,0.04,0.0,0.21,0.09,0.1,0.0
chr13_50543839,0.86,0.63,0.72,0.65,0.74,0.73,0.86,0.74,0.85,0.68,0.83,0.96,0.86,0.7,0.84,0.85,1.0,0.45,0.71,0.92,0.95,0.58,0.9,0.83,0.86,1.0,1.0,0.84,0.79,0.95,0.81,0.71,0.9,0.88,0.82,0.85,0.88,0.9,0.79,0.88
chr11_1890342,0.03,0.07,0.03,0.0,0.04,0.07,0.1,0.0,0.0,0.09,0.0,0.06,0.05,0.06,0.1,0.08,0.22,0.09,0.2,0.0,0.15,0.11,0.19,0.15,0.09,0.03,0.38,0.05,0.1,0.07,0.14,0.06,0.36,0.15,0.13,0.06,0.15,0.24,0.06,0.05
chr16_2854719,0.43,0.65,0.62,0.67,0.7,0.26,0.78,0.53,0.76,0.96,0.5,0.61,0.78,0.59,0.45,0.7,0.73,0.3,0.37,0.26,0.71,0.6,0.86,0.51,0.66,0.8,0.5,0.6,0.66,0.83,0.8,0.82,0.76,0.55,0.76,0.7,0.86,0.4,0.64,0.5
chr15_101066685,0.77,0.75,0.72,0.47,0.72,0.55,0.66,0.56,0.75,0.47,0.0,0.75,0.76,0.79,0.86,0.86,0.75,0.84,0.6,0.85,0.0,0.49,0.0,0.46,0.58,0.53,0.76,0.75,0.43,0.88,0.76,0.7,0.55,0.73,0.88,0.76,0.62,0.77,0.48,0.7
chr12_122841348,0.79,0.72,0.81,0.79,0.88,0.75,0.83,0.72,0.72,0.86,0.83,0.86,0.78,0.71,0.72,0.84,0.76,0.94,0.85,0.66,0.61,0.61,0.84,0.8,0.73,0.41,0.68,0.78,0.65,0.21,0.72,0.72,0.3,0.85,0.73,0.02,0.68,0.8,0.71,0.56
chr10_70932477,0.78,0.89,0.61,0.86,1.0,0.75,0.91,0.75,0.86,0.81,0.88,0.81,0.77,0.91,0.94,0.87,0.7455555555555556,0.58,0.94,0.66,0.83,0.7455555555555556,0.69,0.69,0.42,0.86,0.7455555555555556,0.65,0.69,0.63,0.6,0.92,0.7455555555555556,0.8,0.81,0.65,0.61,0.57,0.14,0.7
chr16_643176,0.56,0.7426315789473684,0.94,0.89,0.7,0.72,0.74,0.77,1.0,0.8,0.75,0.84,0.76,0.72,0.88,0.78,0.73,0.86,0.73,0.85,0.8,0.54,0.85,0.77,0.78,0.67,0.46,0.77,0.7,0.72,0.74,0.82,0.58,0.66,0.7426315789473684,0.83,0.62,0.54,0.58,0.77
chr16_1077818,0.72,0.64,0.63,0.52,0.82,0.41,0.75,0.73,0.68,0.7,0.76,0.63,0.6,0.86,0.57,0.64,0.53,0.6237837837837836,0.58,0.88,0.57,0.59,0.73,0.61,0.6237837837837836,0.62,0.38,0.58,0.58,0.6237837837837836,0.69,0.27,0.6,0.63,0.66,0.57,0.5,0.56,0.61,0.68
chr22_32204353,0.66,0.59,0.6,0.62,0.77,0.72,0.65,0.75,0.36,0.03,0.64,0.79,0.85,0.54,0.55,0.76,0.37,0.8,0.51,0.52,0.52,0.33,0.28,0.26,0.53,0.85,0.16,0.54,0.78,0.27,0.29,0.68,0.73,0.6,0.65,0.76,0.6,0.23,0.9,0.88
chr11_1870930,0.7,0.66,0.72,0.78,0.81,0.69,0.71,0.74,0.77,0.46,0.7,0.76,0.79,0.39,0.81,0.78,0.76,0.61,0.65,0.88,0.7,0.65,0.76,0.65,0.61,0.79,0.52,0.72,0.59,0.71,0.73,0.66,0.53,0.48,0.26,0.73,0.62,0.6,0.66,0.73
chr14_28263079,0.66,0.0,0.7,0.4,0.9,0.81,0.84,0.8,0.36,0.56,0.82,0.36,0.86,0.52,0.85,0.92,0.83,0.84,0.71,0.25,0.27,0.38,0.62,0.5,0.38,0.58,0.38,0.34,0.53,0.53,0.0,0.37,0.9,0.5,0.75,0.76,0.44,0.46,0.42,0.78
chr11_134762224,0.73,0.89,0.79,0.77,0.95,0.83,0.79,0.78,0.81,0.9,0.7,0.84,0.78,0.84,0.86,0.95,0.83,0.83,0.97,0.85,0.68,0.51,0.83,0.74,0.7,0.9,0.81,0.64,0.78,0.73,0.83,0.74,0.72,0.78,0.7,0.7,0.88,0.66,0.58,0.76
chr11_79940454,0.3,0.31,0.44,0.45,0.45,0.57,0.3,0.42,0.4,0.52,0.21,0.27,0.44,0.23,0.36,0.42,0.65,0.5,0.72,0.51,0.19,0.38,0.42,0.39,0.5,0.3,0.46,0.35,0.52,0.18,0.13,0.35,0.42,0.15,0.42,0.29,0.18,0.4,0.26,0.35
chr7_154894220,0.75,0.88,0.78,0.79,0.66,0.84,0.8,0.92,0.66,0.68,0.68,0.79,0.73,0.84,0.64,0.57,0.6745945945945946,0.6745945945945946,0.62,0.76,0.62,0.63,0.68,0.58,0.57,0.76,0.66,0.57,0.6,0.6,0.64,0.52,0.66,0.61,0.6745945945945946,0.73,0.18,0.58,0.61,0.77
chr13_62626362,0.79,0.62,0.72,0.85,0.85,0.65,0.71,0.8,0.8,0.8,0.61,0.5,0.78,0.61,0.52,0.88,0.8,0.72,0.61,0.68,0.71,0.6733333333333331,0.57,0.58,0.64,0.64,0.71,0.58,0.47,0.43,0.57,0.8,0.5,0.54,0.88,0.72,0.73,0.56,0.63,0.7
chr3_123701979,0.83,0.42,0.02,0.39,0.3,0.4,0.32,0.44,0.66,0.53,0.7,0.73,0.77,0.62,0.61,0.25,0.75,0.4,0.4,0.39,0.61,0.34,0.39,0.27,0.14,0.65,0.29,0.45,0.35,0.43,0.66,0.0,0.69,0.29,0.0,0.19,0.0,0.68,0.59,0.76
chr6_137945261,0.29,0.52,0.54,0.37,0.6,0.47,0.34,0.35,0.6,0.52,0.18,0.27,0.29,0.6,0.32,0.46,0.48,0.36,0.69,0.38,0.38,0.4,0.24,0.3,0.36,0.22,0.3,0.3,0.28,0.37,0.31,0.28,0.53,0.41,0.3,0.45,0.29,0.23,0.22,0.38
chr13_114138739,0.07,0.43710526315789483,0.63,0.63,0.22,0.66,0.62,0.28,0.55,0.72,0.73,0.56,0.88,0.19,0.11,0.21,0.6,0.84,0.57,0.38,0.5,0.16,0.16,0.15,0.12,0.93,0.69,0.65,0.64,0.43710526315789483,0.1,0.19,0.13,0.09,0.78,0.07,0.05,0.54,0.67,0.54
chr6_7110426,0.81,0.75,0.66,0.92,0.85,0.72,0.81,0.76,0.91,0.9,0.69,0.9,0.7,0.75,0.76,0.86,0.76,0.66,0.76,0.83,0.69,0.8,0.78,0.66,0.7399999999999999,0.7399999999999999,0.75,0.73,0.79,0.57,0.82,0.47,0.88,0.56,0.68,0.58,0.57,0.62,0.8,0.61
chr1_148309779,0.81,0.53,0.73,0.8,0.87,0.82,0.82,0.79,0.77,0.92,0.65,0.88,0.85,0.69,0.77,0.6,0.75,0.43,0.5,0.82,0.69,0.61,0.61,0.61,0.75,0.62,0.47,0.65,0.63,0.72,0.43,0.6,0.51,0.58,0.66,0.74,0.48,0.63,0.8,0.85
chr10_79106952,0.36,0.86,0.78,0.86,0.84,0.33,0.38,0.51,0.9,0.89,0.88,0.5,0.8,0.77,0.37,0.72,0.7,0.46,0.79,1.0,0.0,0.8,0.6,0.82,0.82,0.0,0.41,0.8,0.95,0.35,0.0,0.42,0.36,0.53,0.88,0.88,0.85,0.84,0.96,0.81
chr16_86019473,0.55,0.33,0.6,0.6,0.56,0.19,0.88,0.65,0.55,0.91,0.56,0.56,0.36,0.7,0.44,0.54,0.59,0.55,0.36,0.51,0.2,0.31,0.47,0.52,0.73,0.45,0.6,0.37,0.32,0.1,0.26,0.59,0.21,0.61,0.55,0.77,0.45,0.55,0.71,0.55
chr6_110415339,0.85,0.7,0.62,0.61,0.73,0.62,0.89,0.65,0.73,0.7,0.71,0.6,0.88,0.64,0.84,0.81,0.64,0.61,0.58,0.72,0.5,0.17,0.68,0.24,0.8,0.68,0.6,0.48,0.73,0.66,0.71,0.22,0.81,0.68,0.29,0.7,0.56,0.71,0.57,0.65
chr2_232661386,0.87,0.64,0.41,0.87,0.42,0.85,0.95,0.92,0.36,0.91,0.37,0.97,0.89,0.41,0.96,0.0,1.0,0.58,0.96,0.96,1.0,0.92,0.86,0.87,0.93,0.95,0.81,1.0,0.69,0.86,0.96,0.9,0.95,0.9,0.84,0.45,0.84,0.96,0.44,0.92
chr22_40289942,0.22,0.07,0.07,0.12,0.06,0.16,0.13,0.3,0.05,0.1,0.14,0.02,0.03,0.11,0.08,0.15,0.35,0.15,0.18,0.05,0.08,0.15,0.17,0.45,0.25,0.2,0.37,0.09,0.15,0.08,0.23,0.14,0.55,0.39,0.16,0.13,0.31,0.23,0.18,0.05
chr16_23213094,0.79,0.86,0.76,0.84,0.5,0.87,0.85,0.92,0.0,1.0,0.88,0.96,1.0,0.95,0.34,0.88,0.42,1.0,1.0,0.8,0.92,0.49,0.83,0.5,0.9,0.47,0.91,0.86,0.4,0.41,0.81,0.5,0.02,0.0,0.85,0.52,0.53,0.9,0.8,0.84
chr2_113979852,0.66,0.81,0.75,0.75,0.85,0.8,0.57,0.65,0.57,0.6735897435897437,0.56,0.89,0.73,0.82,0.78,0.7,0.67,0.6,0.81,0.8,0.67,0.53,0.65,0.58,0.56,0.75,0.61,0.64,0.55,0.41,0.67,0.78,0.52,0.65,0.62,0.75,0.6,0.66,0.69,0.61
chr11_22521389,0.65,0.77,0.76,0.78,0.66,0.7,0.69,0.91,0.81,1.0,0.76,0.79,0.75,0.69,0.73,0.72,0.92,0.68,0.82,0.7,0.7,0.7102702702702702,0.65,0.68,0.36,0.63,0.68,0.55,0.7102702702702702,0.78,0.81,0.63,0.71,0.7102702702702702,0.73,0.54,0.63,0.63,0.53,0.75
chr21_34836830,0.74,0.78,0.82,0.9,0.8,0.75,0.85,0.75,0.75,0.66,0.79,0.8,0.91,0.72,0.76,0.72,0.57,0.75,0.75,0.85,0.69,0.56,0.76,0.76,0.63,0.76,0.54,0.7,0.69,0.68,0.82,0.77,0.75,0.55,0.46,0.66,0.7,0.77,0.6,0.62
chr2_233063584,0.36,0.23,0.08,0.21,0.38,0.25,0.47,0.44,0.0,0.42,0.21,0.48,0.25,0.31,0.25,0.22,0.5,0.14,0.43,0.3,0.34,0.33,0.34,0.38,0.36,0.33,0.41,0.33,0.42,0.73,0.35,0.36,0.48,0.3356410256410256,0.41,0.56,0.32,0.33,0.26,0.12
chr2_25167497,0.29,0.26,0.16,0.22,0.43,0.19,0.29,0.35,0.33,0.72,0.46,0.35,0.18,0.2,0.23,0.22,0.35,0.27,0.52,0.35,0.29,0.15,0.34,0.2,0.29,0.16,0.06,0.16,0.13,0.13,0.27,0.1,0.22,0.13,0.08,0.21,0.2,0.31,0.3,0.09
chr22_47090650,0.31,0.42,0.62,0.56,0.25,0.46,0.25,0.52,0.51,0.79,0.56,0.42,0.68,0.5,0.4,0.33,0.36,0.38,0.53,0.54,0.36,0.33,0.29,0.4,0.54,0.41,0.36,0.31,0.33,0.25,0.47,0.53,0.33,0.45,0.42,0.23,0.58,0.23,0.57,0.61
chr11_120667474,0.22,0.66,0.52,0.64,0.32,0.02,0.34,0.39,0.26,0.8,0.35,0.4,0.55,0.43,0.41,0.7,0.57,0.48,0.7,0.52,0.42,0.6,0.66,0.62,0.75,0.39,0.7,0.78,0.72,0.61,0.62,0.6,0.69,0.51,0.7,0.35,0.34,0.68,0.7,0.53
chr14_100342475,0.81,0.45,0.46,0.8,0.81,0.63,0.68,0.63,0.69,0.68,0.83,0.94,1.0,0.63,0.65,0.83,0.78,0.58,0.64,0.75,0.8,0.53,0.53,0.7,0.72,0.75,0.64,0.64,0.38,0.53,0.6,0.58,0.7,0.6,0.7,0.57,0.86,0.76,0.62,0.72
chr13_111567861,0.85,0.76,0.4,0.88,0.84,0.37,0.87,0.85,0.9,0.45,0.82,0.89,0.0,0.0,0.81,0.0,0.44,0.7,0.8,0.0,0.84,0.36,0.86,0.0,0.35,0.9,0.39,0.38,0.43,0.76,0.82,0.42,0.53,0.41,0.0,0.0,0.4,0.52,0.0,0.35
chr12_52905127,0.56,0.63,0.6,0.47,0.42,0.73,0.79,0.6,0.81,0.85,0.69,0.62,0.5,0.61,0.73,0.6,0.83,0.76,0.72,0.68,0.43,0.57,0.6,0.41,0.6,0.68,0.51,0.64,0.64,0.5,0.61,0.53,0.59,0.66,0.28,0.67,0.52,0.61,0.54,0.45
chr7_2711129,0.46,0.4,0.0,0.45,0.48,0.43,0.76,0.38,0.85,0.23,0.48,0.38,0.53,0.32,0.77,0.0,0.75,0.5,0.25,0.44,0.43,0.74,0.75,0.45,0.58,0.49,0.43,0.77,0.35,0.75,0.85,0.7,0.76,0.58,0.4,0.31,0.7,0.41,0.4,0.8
chr15_82681192,0.44,0.28,0.33,0.58,0.3,0.42,0.55,0.25,0.45,0.5,0.21,0.37,0.47,0.54,0.37,0.51,0.35,0.37,0.55,0.58,0.16,0.28,0.16,0.19,0.5,0.36,0.3,0.48,0.27,0.42,0.3,0.31,0.44,0.2,0.3,0.26,0.24,0.36,0.4,0.29
chr16_2913527,0.36,0.18,0.18,0.36,0.0,0.44,0.69,0.0,0.39,0.0,0.33,0.45,0.0,0.41,0.66,0.31,0.52,0.0,0.0,0.0,0.0,0.26,0.32,0.28,0.61,0.38,0.75,0.6,0.0,0.54,0.34,0.59,0.37,0.05,0.59,0.0,0.36,0.44,0.0,0.38
chr17_81155101,0.23,0.13,0.0,0.07,0.09,0.31,0.14,0.24,0.22,0.15,0.25,0.25,0.2,0.05,0.26,0.11,0.33,0.1,0.44,0.08,0.14,0.37,0.24,0.3,0.37,0.06,0.47,0.07,0.39,0.3,0.34,0.21,0.63,0.25,0.23051282051282046,0.11,0.33,0.44,0.32,0.0
chr19_10519523,0.88,0.79,0.78,0.9,0.78,0.68,0.85,0.83,0.8,0.58,0.8,0.86,0.87,0.76,0.75,0.89,0.88,0.87,0.68,0.66,0.66,0.53,0.62,0.74,0.61,0.8,0.77,0.81,0.66,0.73,0.65,0.81,0.77,0.7523076923076921,0.72,0.76,0.45,0.6,0.86,0.9
chr10_8268146,0.9,0.91,0.92,0.87,0.9,0.91,0.96,0.9,0.85,0.94,0.88,0.93,0.9,0.95,0.88,0.95,0.92,1.0,1.0,0.89,0.84,0.93,0.9,0.81,0.87,0.95,0.8,0.91,0.87,0.86,0.0,0.39,0.75,0.9,0.91,0.87,0.54,0.83,0.92,0.92
chr1_201649066,0.56,0.81,0.47,0.34,0.43,0.8,0.42,0.78,0.37,0.87,0.75,0.68,0.88,0.36,0.34,0.47,0.4,0.36,0.48,0.58,0.68,0.37,0.54,0.43,0.18,0.28,0.33,0.62,0.41,0.46,0.58,0.58,0.4,0.64,0.36,0.17,0.44,0.49,0.28,0.67
chr11_67806738,0.35,0.69,0.36,0.86,0.38,0.57,0.53,0.75,0.47,0.61,0.47,0.42,0.5,0.47,0.66,0.66,0.53,0.66,0.508611111111111,0.57,0.33,0.508611111111111,0.7,0.06,0.36,0.508611111111111,0.5,0.45,0.5,0.57,0.45,0.42,0.46,0.508611111111111,0.3,0.66,0.62,0.52,0.33,0.57
chr8_22135345,0.54,0.78,0.58,0.69,0.69,0.48,0.76,0.59,0.63,0.74,0.72,0.75,0.76,0.49,0.62,0.76,0.65,0.82,0.82,0.77,0.62,0.41,0.63,0.68,0.77,0.75,0.19,0.54,0.5,0.61,0.7,0.74,0.69,0.41,0.42,0.4,0.77,0.77,0.52,0.83
chr12_32390900,0.35,0.26,0.0,0.76,0.37,0.26,0.41,0.2,0.21,0.8,0.34,0.36,0.52,0.27,0.26,0.24,0.42,0.3023684210526315,0.26,0.35,0.23,0.27,0.36,0.18,0.53,0.29,0.26,0.18,0.23,0.3023684210526315,0.45,0.07,0.2,0.33,0.33,0.4,0.27,0.1,0.06,0.11
chr19_36309935,0.63,0.21,0.25,0.73,0.79,0.63,0.64,0.66,0.31,0.52,0.44,0.63,0.23,0.4,0.15,0.64,0.16,0.65,0.29,0.6,0.3,0.26,0.89,0.75,0.47,0.65,0.52,0.63,0.61,0.35,0.69,0.77,0.57,0.36,0.72,0.54,0.24,0.84,0.35,0.04
chr16_34146418,0.73,0.58,0.25,0.53,0.64,0.58,0.65,0.7,0.52,0.69,0.8,0.84,0.7,0.46,0.5,0.73,0.76,0.76,0.66,0.67,0.36,0.5,0.68,0.47,0.53,0.4,0.22,0.41,0.37,0.5610526315789472,0.4,0.78,0.47,0.5610526315789472,0.5,0.65,0.8,0.54,0.13,0.36
chr16_55508767,0.42,0.0,0.3,0.4,0.71,0.28,0.41,0.38,0.0,0.0,0.59,1.0,0.4,0.25,0.42,0.0,0.0,0.61,0.33,0.0,0.33,0.6,0.85,0.0,0.0,0.38081081081081075,0.38081081081081075,0.0,0.85,0.69,0.47,0.25,0.38081081081081075,0.44,0.79,0.76,0.76,0.52,0.28,0.0
chr13_100480862,0.05,0.33,0.28,0.11,0.06,0.52,0.05,0.3,0.17,0.17,0.52,0.05,0.0,0.06,0.28,0.15,0.33,0.16,0.23,0.05,0.23,0.23333333333333342,0.25,0.58,0.07,0.0,0.45,0.2,0.27,0.35,0.48,0.18,0.69,0.27,0.3,0.05,0.33,0.38,0.05,0.1
chr15_85255684,0.8,0.0,0.92,0.88,0.51,0.6710526315789473,0.54,0.78,0.66,0.72,0.57,0.11,0.88,0.28,0.82,0.46,0.9,0.88,0.7,1.0,0.71,0.78,0.92,0.78,0.87,0.92,0.87,0.69,0.79,0.6710526315789473,0.54,0.37,0.86,0.42,0.72,0.81,0.34,0.48,0.91,0.31
chr11_69773979,0.396842105263158,0.52,0.33,0.21,0.25,0.37,0.17,0.55,0.46,0.8,0.52,0.64,0.45,0.32,0.28,0.36,0.71,0.38,0.396842105263158,0.55,0.28,0.47,0.5,0.45,0.47,0.31,0.26,0.23,0.21,0.66,0.5,0.3,0.41,0.38,0.36,0.3,0.25,0.26,0.28,0.33
chr5_1231379,0.53,0.35,0.6,0.57,0.43,0.3,0.47,0.45,0.33,0.72,0.26,0.62,0.33,0.33,0.52,0.63,0.38,0.58,0.5402564102564102,0.66,0.56,0.52,0.68,0.66,0.6,0.68,0.66,0.7,0.91,0.66,0.51,0.63,0.65,0.61,0.5,0.69,0.3,0.48,0.64,0.37
chr22_21629083,0.45,0.61,0.8,0.82,0.7,0.89,0.6,0.65,0.61,0.87,0.31,0.48,0.59,0.52,0.15,0.58,0.44,0.56,0.68,0.57,0.54,0.44,0.51,0.38,0.52,0.5,0.52,0.4,0.58,0.33,0.48,0.4,0.49,0.38,0.53,0.16,0.32,0.53,0.32,0.44
chr6_113434514,0.12,0.0,0.19,0.1,0.28,0.47,0.25,0.38,0.2,0.21,0.4,0.12,0.17,0.23,0.27,0.2,0.37,0.23,0.46,0.22,0.17,0.22,0.36,0.55,0.44,0.21,0.5,0.22,0.41,0.23,0.36,0.22,0.59,0.27,0.33,0.26,0.54,0.49,0.38,0.03
chr13_36125945,0.54,0.76,0.8,0.88,1.0,0.65,0.69,0.67,0.74,0.86,0.85,0.84,0.86,0.65,0.62,0.8,0.82,0.76,0.76,0.86,0.6,0.45,0.84,0.66,0.56,0.82,0.75,0.55,0.68,0.8,0.42,0.68,0.75,0.75,0.84,0.66,0.68,0.75,0.76,0.66
chr2_132258243,0.38,0.45,0.2808333333333333,0.46,0.2808333333333333,0.43,0.41,0.56,0.14,0.33,0.12,0.52,0.38,0.0,0.07,0.21,0.5,0.2808333333333333,0.5,0.08,0.19,0.38,0.3,0.17,0.13,0.24,0.18,0.34,0.37,0.36,0.1,0.18,0.26,0.2808333333333333,0.07,0.26,0.1,0.15,0.5,0.29
chr4_8214617,0.83,0.72,1.0,0.8,0.87,0.77,0.85,0.78,0.71,0.94,0.82,0.93,0.93,0.88,0.85,0.8178378378378379,0.8178378378378379,0.85,0.92,0.96,0.72,0.46,0.85,0.86,0.78,0.75,0.79,0.94,0.5,0.88,0.8,0.78,0.8178378378378379,0.84,0.9,0.7,0.78,0.88,0.88,0.76
